,log,number_of_clusters,clustering_technique,discovery_algo,align_weighted_average_f1,runtime,distance_metric,token_weighted_average_f1,f1_score_threshold,max_distance,minimum_cluster_size,neighbourhood_size,meta,flag_condition,align_weighted_average_fitness,align_weighted_average_precision,token_weighted_average_precision,token_weighted_average_fitness,clusters,number_of_traces,number_of_variants,number_of_activities,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
150,TSL,5,K-means,inductive miner,0.7680143291310731,,levenshtein,,0.85,2,300,10,,yes,1.0,0.6571213520876262,,,"{'cluster 3403': 0.962299873779313, 'cluster 4436': 0.935760017264945, 'cluster 409': 1.0, 'cluster 310': 0.9286998202516477, 'cluster 9258': 0.6005949920569119}",17812.0,2551.0,40.0,3403.0,4436.0,409.0,310.0,9258.0
151,TSL,4,K-means,inductive miner,0.7477989840492069,,levenshtein,,0.85,2,300,10,,yes,1.0,0.6219726604256585,,,"{'cluster 2634': 0.9589924323142912, 'cluster 2617': 0.9483026690852553, 'cluster 613': 1.0, 'cluster 11949': 0.6443927651817362}",17812.0,2551.0,40.0,2634.0,2617.0,613.0,11949.0,0.0
152,TSL,4,K-means,inductive miner,0.7123174691763328,,levenshtein,,0.85,2,300,30,,yes,1.0,0.5625427519122369,,,"{'cluster 3236': 0.8490651192778853, 'cluster 3351': 0.8258696294276691, 'cluster 1358': 0.7046940928270041, 'cluster 9867': 0.6299544267471785}",17812.0,2551.0,40.0,3236.0,3351.0,1358.0,9867.0,0.0
153,TSL,4,K-means,inductive miner,0.7123174691763328,,levenshtein,,0.95,2,300,30,,yes,1.0,0.5625427519122369,,,"{'cluster 3236': 0.8490651192778853, 'cluster 3351': 0.8258696294276691, 'cluster 1358': 0.7046940928270041, 'cluster 9867': 0.6299544267471785}",17812.0,2551.0,40.0,3236.0,3351.0,1358.0,9867.0,0.0
154,KIM,4,K-means,inductive miner,0.7410592627458422,,levenshtein,,0.95,2,300,30,,yes,1.0,0.6086275853936566,,,"{'cluster 8956': 0.917916193129743, 'cluster 10356': 0.669341983904292, 'cluster 714': 0.6471595775049956, 'cluster 4744': 0.577867409125868}",24770.0,1174.0,18.0,8956.0,10356.0,714.0,4744.0,0.0
155,KIM,4,K-means,inductive miner,0.7409470938491186,,levenshtein,,0.85,2,300,30,,yes,1.0,0.6085167078876855,,,"{'cluster 8956': 0.917916193129743, 'cluster 10356': 0.669341983904292, 'cluster 714': 0.6471595775049956, 'cluster 4744': 0.5772817380525447}",24770.0,1174.0,18.0,8956.0,10356.0,714.0,4744.0,0.0
156,KIM,4,K-means,inductive miner,0.7641339958433446,,levenshtein,,0.85,2,300,10,,yes,1.0,0.6356081003832714,,,"{'cluster 8956': 0.917916193129743, 'cluster 7939': 0.7134502339344984, 'cluster 1270': 0.8031628129867018, 'cluster 6605': 0.6090300487010708}",24770.0,1174.0,18.0,8956.0,7939.0,1270.0,6605.0,0.0
157,KIM,5,K-means,inductive miner,0.7702666197082493,,levenshtein,,0.85,2,300,10,,yes,1.0,0.645541704496834,,,"{'cluster 8956': 0.917916193129743, 'cluster 7939': 0.7134502339344984, 'cluster 1270': 0.8031628129867018, 'cluster 854': 0.9333333333333333, 'cluster 5751': 0.5872860194987992}",24770.0,1174.0,18.0,8956.0,7939.0,1270.0,854.0,5751.0
158,KIM,5,K-means,inductive miner,0.7183868275741577,,levenshtein,,0.85,2,300,30,,yes,1.0,0.5748944952712705,,,"{'cluster 9285': 0.8685216652506372, 'cluster 10027': 0.6458758885529864, 'cluster 714': 0.6471595775049956, 'cluster 337': 0.7798824297844545, 'cluster 4407': 0.5738888598736095}",24770.0,1174.0,18.0,9285.0,10027.0,714.0,337.0,4407.0
159,KIM,5,K-means,inductive miner,0.7184938041528854,,levenshtein,,0.95,2,300,30,,yes,1.0,0.5749997387269776,,,"{'cluster 9285': 0.8685216652506372, 'cluster 10027': 0.6458758885529864, 'cluster 714': 0.6471595775049956, 'cluster 337': 0.7798824297844545, 'cluster 4407': 0.574490132815539}",24770.0,1174.0,18.0,9285.0,10027.0,714.0,337.0,4407.0
